nom,url,prix_tnd,marque,taille_ecran,resolution_affichage,technologie_dalle,hdr,smart_tv,taux_rafraichissement,os_platform,has_4g,has_wifi6,has_wifi,has_bluetooth,has_ethernet
"TV ALMA 32"" Avec Récepteur Intégré - Noir",https://www.mytek.tn/tv-alma-32-altv32b-avec-recepteur-integre-noir.html,369.0,ALMATV,32.0,Full HD,LED,True,False,60.0,Autre,0,0,0,0,0
"TV ALMA 40"" Smart Avec Récepteur Intégré - Noir",https://www.mytek.tn/tv-alma-40-smart-tv-avec-recepteur-tnt-integre-noir.html,639.0,ALMATV,40.0,Full HD,QLED,True,True,60.0,Google TV,0,0,1,1,0
TV BIOLUX 75'' Smart Android ECO75RSM UHD 4K + Récepteur intégré,https://www.mytek.tn/tv-biolux-75-smart-android-eco75rsm-uhd-4k-recepteur-integre.html,3299.0,BIOLUX,75.0,4K,QLED,True,True,103.6,Android TV,0,0,0,0,1
TV ECOSAT 32 Pouces LED HD 32T2 - Gris,https://www.mytek.tn/tv-ecosat-32-pouces-led-hd-32t2-gris.html,385.0,ECOSAT,32.0,HD Ready,LED,False,False,60.0,Autre,0,0,0,0,0
Téléviseur ECOSAT 32″ LED SMART TV  Avec Récepteur Smart Intégrée,https://www.mytek.tn/televiseur-ecosat-32-led-smart-tv-avec-recepteur-smart-integree.html,439.0,ECOSAT,32.0,HD Ready,LED,False,True,60.0,Android TV,0,0,1,0,0
Tv Ecosat 43″ ECO43T2 LED Full HD Avec Récepteur FUN-40,https://www.mytek.tn/tv-ecosat-43-eco43t2-led-full-hd-avec-recepteur-fun-40.html,689.0,ECOSAT,43.0,Full HD,LED,False,False,60.0,Autre,0,0,0,0,0
"Téléviseur ECOSAT 43"" Google TV Qled FHD - Noir",https://www.mytek.tn/televiseur-ecosat-43-google-tv-qled-fhd-noir.html,859.0,ECOSAT,43.0,Full HD,QLED,False,False,60.0,Google TV,0,0,1,0,0
"Téléviseur ECOSAT 55"" Google TV Qled 4K UHD - Noir",https://www.mytek.tn/televiseur-ecosat-55-google-tv-qled-4k-uhd-noir.html,1479.0,ECOSAT,55.0,4K,QLED,True,False,84.8,Google TV,1,0,1,0,0
"TV ETERNAL 32"" N18 LED HD Avec Récepteur TNT Intégré",https://www.mytek.tn/tv-eternal-32-n18-led-hd-avec-recepteur-tnt-integre.html,389.0,ETERNAL,32.0,Full HD,LED,False,False,60.0,Autre,0,0,0,0,0
Téléviseur Haier 43 Pouces QLED FHD H43S80GFX Smart TV - Gris,https://www.mytek.tn/televiseur-haier-43-pouces-qled-fhd-h43s80gfx-smart-tv-gris.html,999.0,HAIER,43.0,Full HD,QLED,True,True,60.0,Google TV,0,0,1,1,0
"Téléviseur HAIER 50"" DLED UHD 4K Google TV H50K85GUX - Gris",https://www.mytek.tn/televiseur-haier-50-dled-uhd-4k-google-tv-h50k85gux-gris.html,1399.0,HAIER,50.0,4K,QLED,True,True,60.0,Google TV,0,0,1,1,1
TV HAIER 55 Pouces 4K UHD DLED Smart Google TV H55K85GUX,https://www.mytek.tn/tv-haier-55-pouces-4k-uhd-dled-smart-google-tv-h55k85gux.html,1549.0,HAIER,55.0,4K,LED,True,True,60.0,Google TV,0,0,1,1,0
"Téléviseur HAIER H65K85GUX 65"" UHD 4K DLED Google TV - Gris",https://www.mytek.tn/televiseur-haier-h65k85gux-65-uhd-4k-dled-google-tv-gris.html,2399.0,HAIER,65.0,4K,LED,True,True,60.0,Google TV,0,0,1,1,1
"TV Hisense 43A4200G 43"" UHD Android Smart Tv - Noir",https://www.mytek.tn/tv-hisense-43a4200g-43-uhd-android-smart-tv-noir.html,889.0,HISENSE,43.0,Full HD,QLED,False,True,60.0,Android TV,0,0,1,1,0
"TV Hisense A6GN 50"" UHD 4K Smart Google TV - Noir",https://www.mytek.tn/tv-hisense-a6gn-50-uhd-4k-smart-google-tv-noir.html,1299.0,HISENSE,50.0,4K,QLED,True,True,60.0,Google TV,0,0,1,1,1
"TV Hisense A6500N 55"" Smart 4K UHD DLED Google TV - Noir",https://www.mytek.tn/tv-hisense-a6500n-55-smart-4k-uhd-dled-google-tv-noir.html,1479.0,HISENSE,55.0,4K,Mini-LED,True,True,84.8,Google TV,0,0,1,1,1
"TV Hisense A6500N 65"" Smart 4K UHD DLED Google TV - Noir",https://www.mytek.tn/tv-hisense-a6500n-65-smart-4k-uhd-dled-google-tv-noir.html,2399.0,HISENSE,65.0,4K,LED,True,True,74.8,Google TV,0,0,1,1,1
"TV HISENSE 75"" Smart Série A6N 4K ULTRA HD - Noir",https://www.mytek.tn/tv-hisense-75-smart-serie-a6n-4k-ultra-hd-noir.html,4069.0,HISENSE,75.0,4K,QLED,True,True,50.0,VIDAA,0,0,1,1,1
Téléviseur HISENSE 85″ Smart Série A6N LED UHD 4K - Noir,https://www.mytek.tn/televiseur-hisense-85-smart-serie-a6n-led-uhd-4k-noir.html,6399.0,HISENSE,85.0,4K,QLED,True,True,60.0,VIDAA,0,0,1,1,0
TV Hisense 85″ Smart Série Q6N QLED 4K UHD - Noir,https://www.mytek.tn/tv-hisense-85-smart-serie-q6n-qled-4k-uhd-noir.html,6629.0,HISENSE,85.0,4K,QLED,True,True,120.0,Autre,0,0,1,1,1
"TV Lazer Hisense 100L5GE 100"" 4K HDR Smart - Noir",https://www.mytek.tn/tv-lazer-hisense-100l5ge-100-4k-hdr-smart-noir.html,6999.0,HISENSE,100.0,4K,QLED,True,True,60.0,VIDAA,0,0,1,1,1
TV Hisense 100Q7N 100″ Mini LED UHD 4K Smart VIDAA - Garantie 2 Ans,https://www.mytek.tn/tv-hisense-100q7n-100-mini-led-uhd-4k-smart-vidaa-garantie-2-ans.html,9999.0,HISENSE,100.0,4K,Mini-LED,True,True,120.0,VIDAA,0,0,1,1,1
"Téléviseur IFFALCON S55 40"" LED Full HD Smart TV - Noir",https://www.mytek.tn/televiseur-iffalcon-s55-40-led-full-hd-smart-tv-noir.html,749.0,IFFALCON,40.0,Full HD,LED,True,True,60.0,Android TV,0,0,1,1,1
TV iFFALCON 43'' Smart S55 Full HD,https://www.mytek.tn/tv-iffalcon-43-smart-s55-full-hd.html,899.0,IFFALCON,43.0,Full HD,QLED,True,True,60.0,Google TV,0,0,1,1,1
Téléviseur IRIS 32C3030 32 Pouces Smart HD - Noir,https://www.mytek.tn/tv-iris-32-smart-hd-32c3030.html,499.0,IRIS,32.0,Full HD,LED,True,True,60.0,Google TV,0,0,1,1,1
Tv LG 43'' Smart LM6370 LED Full HD + Récepteur Intégré,https://www.mytek.tn/tv-lg-43-smart-lm6370-led-full-hd-recepteur-integre.html,1199.0,LG,43.0,Full HD,LED,True,True,60.0,webOS,0,0,1,1,1
TV LG 43'' AI UA85 4K Smart (43UA85006LA),https://www.mytek.tn/tv-lg-43-ai-ua85-4k-smart-43ua85006la.html,1499.0,LG,43.0,Full HD,QLED,True,True,60.0,webOS,0,0,1,1,1
TV LG 55'' AI UA85 4K Smart (55UA85006LA),https://www.mytek.tn/tv-lg-55-ai-ua85-4k-smart-55ua85006la.html,1999.0,LG,55.0,4K,QLED,True,True,60.0,webOS,0,0,1,1,1
TV LG 55 '' QNED EV AI QNED70 4K  Smart TV 2025 - Noir,https://www.mytek.tn/tv-lg-55-qned-ev-ai-qned70-4k-smart-tv-2025-noir.html,3199.0,LG,55.0,4K,QNED,True,True,84.8,webOS,0,0,1,1,0
TV LG 65'' UHD 4K SMART TV  (65NANO776RA) - Noir,https://www.mytek.tn/tv-lg-65-uhd-4k-smart-tv-65nano776ra-noir.html,3599.0,LG,65.0,4K,QLED,True,True,50.0,webOS,0,0,1,1,1
TV LG 65'' NanoCell NANO80  4K SMART TV (65NANO80T6A),https://www.mytek.tn/tv-lg-65-nanocell-nano80-4k-smart-tv-65nano80t6a.html,3799.0,LG,65.0,4K,QLED,True,True,60.0,webOS,0,0,1,1,1
TV LG 65 '' QNED EV AI QNED70 4K Smart TV 2025 - Noir,https://www.mytek.tn/tv-lg-65-qned-ev-ai-qned70-4k-smart-tv-2025-noir.html,3999.0,LG,65.0,4K,QNED,True,True,74.8,webOS,0,0,1,1,0
Téléviseur LG 55'' B56LA AI Smart TV OLED 4K Ultra HD,https://www.mytek.tn/televiseur-lg-55-b56la-ai-smart-tv-oled-4k-ultra-hd.html,5499.0,LG,55.0,4K,OLED,True,True,120.0,webOS,0,1,1,1,0
Téléviseur LG 65'' B56LA AI Smart TV OLED 4K Ultra HD,https://www.mytek.tn/televiseur-lg-65-b56la-ai-smart-tv-oled-4k-ultra-hd.html,7599.0,LG,65.0,4K,OLED,True,True,120.0,webOS,0,1,1,1,0
"Tv MAXWELL 32"" M20 QLED HD + Récepteur Intégré",https://www.mytek.tn/tv-maxwell-32-m20-qled-hd-recepteur-integre.html,399.0,MAXWELL,32.0,Full HD,QLED,False,False,60.0,Autre,0,0,0,0,0
Tv MAXWELL 40'' M20 Qled Full HD + Récepteur Intégré,https://www.mytek.tn/tv-maxwell-40-m20-qled-full-hd-recepteur-integre.html,599.0,MAXWELL,40.0,Full HD,QLED,False,False,60.0,Autre,0,0,0,0,0
"TV MAXWELL 43"" QLED Full HD MAX-Q43M20 avec Récepteur Intégré",https://www.mytek.tn/tv-maxwell-43-qled-full-hd-max-q43m20-avec-recepteur-integre.html,729.0,MAXWELL,43.0,Full HD,QLED,False,False,60.0,Autre,0,0,0,0,0
"Téléviseur MAXWELL 50"" MG60 QLED 4K Smart Google TV - Noir",https://www.mytek.tn/televiseur-maxwell-50-mg60-qled-4k-smart-google-tv-noir.html,1199.0,MAXWELL,50.0,4K,QLED,True,True,84.8,Google TV,0,0,1,1,0
"TV MAXWELL MG60 55"" QLED 4K Smart Google TV avec Récepteur Intégré",https://www.mytek.tn/tv-maxwell-mg60-55-qled-4k-smart-google-tv-avec-recepteur-integre.html,1399.0,MAXWELL,55.0,4K,QLED,True,True,60.0,Google TV,0,0,1,0,1
