feature,importance
stockage_go,0.6517072931788401
ram_go,0.09426203848510051
cpu_serie_5.0,0.07751795631495209
cpu_serie_3.0,0.037541318538611715
marque_BMAX,0.02461751720080695
os_platform_Windows 11,0.0198936258753532
marque_MYTEK,0.01823341861668942
has_wifi,0.01611523842975103
cpu_serie_7.0,0.01503408794242868
marque_LENOVO,0.010453898518499111
marque_HP,0.010172847573034351
has_5g,0.009117371667860004
marque_MSI,0.0075217762131617825
marque_DELL,0.003749282678072261
os_platform_Windows 11 Pro,0.0030076534301682056
os_platform_Windows 11 Famille,0.0005407514827157764
marque_CHUWI,0.0005027932037546868
cpu_serie_9.0,1.1130650200084869e-05
