feature,importance_mean,importance_std
stockage_go,0.49648424423488224,0.0671472362708297
ram_go,0.1716495337267867,0.06651552040236901
cpu_serie_5.0,0.06285479190255497,0.023508539873166236
has_wifi,0.042011798239791266,0.012662281001231948
cpu_serie_7.0,0.04182031453266153,0.018917274694679877
marque_HP,0.015852717863313538,0.011783204342833897
marque_MYTEK,0.015665151534212975,0.013115673727253077
marque_DELL,0.01518051488485268,0.002786838020079073
has_5g,0.011124763836722128,0.004302404993512711
os_platform_Windows 11,0.0,0.0
marque_CHUWI,0.0,0.0
os_platform_Windows 11 Famille,0.0,0.0
cpu_serie_9.0,0.0,0.0
marque_BMAX,0.0,0.0
os_platform_Windows 11 Pro,-0.001370960593185333,0.006612431376802098
marque_LENOVO,-0.011817589184353983,0.005222959064484813
marque_MSI,-0.024344964041723906,0.013849634203435317
cpu_serie_3.0,-0.03622749881104191,0.024912339591074542
