semaine_reference,marque,gamme_prix,n,k,outcome
1,ASUS,Milieu de gamme,6,1,too_small
1,ASUS,Premium,6,1,too_small
1,ASUS,Économique,6,1,too_small
1,DELL,Milieu de gamme,7,1,too_small
1,DELL,Premium,7,1,too_small
1,DELL,Économique,7,1,too_small
1,HP,Milieu de gamme,5,1,too_small
1,HP,Premium,6,1,too_small
1,HP,Économique,7,1,too_small
1,LENOVO,Milieu de gamme,6,1,too_small
1,LENOVO,Premium,7,1,too_small
1,LENOVO,Économique,7,1,too_small
1,MSI,Milieu de gamme,25,1,no_structure
1,MSI,Premium,27,2,clustered
1,MSI,Économique,30,2,clustered
1,MYTEK,Milieu de gamme,18,1,no_structure
1,MYTEK,Premium,18,2,clustered
1,MYTEK,Économique,19,2,clustered
