feature,importance
ram_go,0.5052982465003628
stockage_go,0.26106939880468966
taille_ecran,0.10515291794592248
marque_GIGABYTE,0.03205167475870236
marque_HP,0.028421411082990632
os_platform_Windows 11 Famille,0.01669576656525389
marque_LENOVO,0.015684388400971652
os_platform_Windows 11 Pro,0.011255435310283082
cpu_brand_Autre,0.009332275964748598
cpu_serie,0.005881563964044927
marque_CHUWI,0.004089442181807904
marque_DELL,0.0032971478781984643
cpu_brand_Qualcomm,0.0017703306420212665
os_platform_Windows 11 Pro (Offert),2.2832672416409658e-15
