segment_col,segment,famille,n_lignes,n_produits_distincts,n_predicteurs,n_min_requis,ajuste,raison_rejet,n_test,r2_test,rmse_tnd_test,r2_test_categorie,rmse_tnd_test_categorie,comparaison_possible,retenu_pour_prediction
cluster_id,ASUS::Milieu de gamme::c0,hedonic_ols,122,31,10,100,True,,28,-8.973,1607.94,-3.133,766.39,True,False
cluster_id,ASUS::Milieu de gamme::c0,ridge,122,31,10,50,True,,28,-0.0264,425.57,-2.6984,733.66,True,True
cluster_id,ASUS::Milieu de gamme::c0,random_forest,122,31,10,50,True,,28,0.4304,315.47,0.1298,398.77,True,True
cluster_id,ASUS::Milieu de gamme::c1,hedonic_ols,24,6,9,90,False,n_lignes=24 < n_min_requis=90 (ratio=10),8,,,,,False,False
cluster_id,ASUS::Milieu de gamme::c1,ridge,24,6,9,45,False,n_lignes=24 < n_min_requis=45 (ratio=5),8,,,,,False,False
cluster_id,ASUS::Milieu de gamme::c1,random_forest,24,6,9,45,False,n_lignes=24 < n_min_requis=45 (ratio=5),8,,,,,False,False
cluster_id,ASUS::Premium::c0,hedonic_ols,24,6,4,40,False,n_lignes=24 < n_min_requis=40 (ratio=10),8,,,,,False,False
cluster_id,ASUS::Premium::c0,ridge,24,6,4,20,True,,8,0.4043,458.46,-14.9026,1940.39,True,True
cluster_id,ASUS::Premium::c0,random_forest,24,6,4,20,True,,8,0.6998,339.93,-10.4966,1726.88,True,True
cluster_id,ASUS::Premium::c1,hedonic_ols,27,7,7,70,False,n_lignes=27 < n_min_requis=70 (ratio=10),8,,,,,False,False
cluster_id,ASUS::Premium::c1,ridge,27,7,7,35,False,n_lignes=27 < n_min_requis=35 (ratio=5),8,,,,,False,False
cluster_id,ASUS::Premium::c1,random_forest,27,7,7,35,False,n_lignes=27 < n_min_requis=35 (ratio=5),8,,,,,False,False
cluster_id,ASUS::Premium::c2,hedonic_ols,64,17,5,50,True,,12,-0.0676,323.67,-21.9674,1225.95,True,True
cluster_id,ASUS::Premium::c2,ridge,64,17,5,25,True,,12,0.5643,202.0,-23.9816,1287.72,True,True
cluster_id,ASUS::Premium::c2,random_forest,64,17,5,25,True,,12,0.2015,292.06,-3.8212,581.54,True,True
cluster_id,ASUS::Premium::c3,hedonic_ols,24,6,6,60,False,n_lignes=24 < n_min_requis=60 (ratio=10),14,,,,,False,False
cluster_id,ASUS::Premium::c3,ridge,24,6,6,30,False,n_lignes=24 < n_min_requis=30 (ratio=5),14,,,,,False,False
cluster_id,ASUS::Premium::c3,random_forest,24,6,6,30,False,n_lignes=24 < n_min_requis=30 (ratio=5),14,,,,,False,False
cluster_id,ASUS::Économique::c0,hedonic_ols,50,14,5,50,True,,12,0.8572,86.05,-0.8777,372.39,True,True
cluster_id,ASUS::Économique::c0,ridge,50,14,5,25,True,,12,0.8148,97.59,-1.0147,387.76,True,True
cluster_id,ASUS::Économique::c0,random_forest,50,14,5,25,True,,12,0.7864,102.2,-0.9631,418.8,True,True
cluster_id,ASUS::Économique::c1,hedonic_ols,47,13,4,40,True,,4,0.0,114.57,0.0,455.73,True,False
cluster_id,ASUS::Économique::c1,ridge,47,13,4,20,True,,4,0.0,117.33,0.0,492.8,True,False
cluster_id,ASUS::Économique::c1,random_forest,47,13,4,20,True,,4,0.0,114.33,0.0,157.55,True,False
cluster_id,ASUS::Économique::c2,hedonic_ols,12,3,4,40,False,n_lignes=12 < n_min_requis=40 (ratio=10),8,,,,,False,False
cluster_id,ASUS::Économique::c2,ridge,12,3,4,20,False,n_lignes=12 < n_min_requis=20 (ratio=5),8,,,,,False,False
cluster_id,ASUS::Économique::c2,random_forest,12,3,4,20,False,n_lignes=12 < n_min_requis=20 (ratio=5),8,,,,,False,False
cluster_id,ASUS::Économique::c3,hedonic_ols,38,10,7,70,False,n_lignes=38 < n_min_requis=70 (ratio=10),4,,,,,False,False
cluster_id,ASUS::Économique::c3,ridge,38,10,7,35,True,,4,0.0,77.48,0.0,239.57,True,False
cluster_id,ASUS::Économique::c3,random_forest,38,10,7,35,True,,4,0.0,93.99,0.0,133.12,True,False
cluster_id,CHUWI::Gamme unique::c0,hedonic_ols,12,3,9,90,False,n_lignes=12 < n_min_requis=90 (ratio=10),12,,,,,False,False
cluster_id,CHUWI::Gamme unique::c0,ridge,12,3,9,45,False,n_lignes=12 < n_min_requis=45 (ratio=5),12,,,,,False,False
