feature,importance_mean,importance_std
stockage_go,0.2500940126277197,0.0168103354761304
ram_go,0.21294247681911763,0.032255299206949944
taille_ecran,0.18726692527203764,0.03283703258603525
cpu_serie_3.0,0.030223578668960093,0.014467294253021963
marque_LENOVO,0.02867392885784773,0.005380714939979516
marque_DELL,0.020987735024374066,0.003557440253522201
marque_BMAX,0.017402837923868663,0.0010826410843636596
cpu_serie_7.0,0.01137272325374572,0.0025821481986737257
marque_MSI,0.00995753432976566,0.010121552968401112
os_platform_Windows 11 Famille,0.004001248767644494,0.0020554120520415264
marque_HP,0.00310268266354935,0.0030475507518110674
marque_CHUWI,0.0013466773748633475,0.0008577847397643501
cpu_brand_Autre,0.0,0.0
cpu_brand_Qualcomm,0.0,0.0
os_platform_Windows 11,0.0,0.0
os_platform_Freedos,0.0,0.0
os_platform_Windows 11 Pro (Offert),-5.878691171060657e-05,2.4803836880902934e-06
cpu_serie_9.0,-0.00035050325381446034,0.00027440983228812474
marque_GIGABYTE,-0.0023473061467805924,0.0008280652553046838
cpu_serie_5.0,-0.004795543030206117,0.005731628096259602
cpu_brand_Intel,-0.01221736516463342,0.004463702688950537
os_platform_Windows 11 Pro,-0.040094802211703216,0.0047385211075243235
