semaine_reference,marque,gamme_prix,n,k,outcome
1,ASUS,Milieu de gamme,46,2,clustered
1,ASUS,Premium,47,4,clustered
1,ASUS,Économique,47,4,clustered
1,CHUWI,Gamme unique,6,1,too_small
1,DELL,Milieu de gamme,26,2,clustered
1,DELL,Premium,24,2,clustered
1,DELL,Économique,25,3,clustered
1,GIGABYTE,Milieu de gamme,7,1,too_small
1,GIGABYTE,Premium,7,1,too_small
1,GIGABYTE,Économique,8,1,too_small
1,HP,Milieu de gamme,29,1,no_structure
1,HP,Premium,30,3,clustered
1,HP,Économique,32,3,clustered
1,LENOVO,Milieu de gamme,41,4,clustered
1,LENOVO,Premium,42,2,clustered
1,LENOVO,Économique,42,4,clustered
1,MSI,Milieu de gamme,21,3,clustered
1,MSI,Premium,22,1,no_structure
1,MSI,Économique,24,3,clustered
