feature,importance
taille_ecran,0.3209331851903342
ram_go,0.25734591078930014
marque_SAMSUNG,0.11170357765636153
stockage_go,0.1090361486963176
cpu_brand_Samsung Exynos,0.08963405772607481
has_4g,0.0484471082432401
cpu_brand_Qualcomm,0.028828750863240722
marque_XIAOMI,0.010048215473942065
cpu_brand_MediaTek,0.009945224799873188
has_wifi,0.006017972971623386
marque_OPPO,0.0031479475054959146
marque_VIVO,0.0023191741301120724
marque_TECNO,0.0013152062151101692
marque_INFINIX,0.0012775197389741858
