feature,importance_mean,importance_std
has_5g,0.4423476139983669,0.03129131921523969
ram_go,0.32875129349015153,0.048391225058190664
taille_ecran,0.21551768390151294,0.014937256637524127
stockage_go,0.11792533889150728,0.016124432009907926
cpu_brand_Samsung Exynos,0.024385426551093693,0.006812427646810359
has_4g,0.016025263353794804,0.0022681673984467623
marque_SAMSUNG,0.008677779704144694,0.002253465582893165
marque_XIAOMI,0.00845380918382771,0.002372828150204779
cpu_brand_MediaTek,0.006755978889652303,0.000943297167987809
cpu_brand_Qualcomm,0.003293951562128683,0.0006326398175879211
has_wifi,0.0028972118226950226,0.0008891582791919004
marque_OPPO,0.0015144131027160612,0.0003213335534798641
has_wifi6,0.000879480289163359,0.0002653436650299998
has_bluetooth,0.0005755836351671428,0.0001333963302276718
marque_VIVO,0.0005462270400588443,0.00012814228729581293
marque_OSCAL,0.0003214716314455468,9.497237186397112e-05
marque_INFINIX,5.357799165373045e-06,6.001299474774356e-05
os_platform_Autre,0.0,0.0
marque_HUAWEI,0.0,0.0
marque_UNIWA,0.0,0.0
marque_TECNO,0.0,0.0
marque_LESIA,-5.406935556173664e-06,8.982445115645722e-06
