semaine_reference,marque,gamme_prix,n,k,outcome
1,HONOR,Milieu de gamme,10,1,no_structure
1,HONOR,Premium,10,1,no_structure
1,HONOR,Économique,10,1,no_structure
1,INFINIX,Milieu de gamme,9,1,too_small
1,INFINIX,Premium,5,1,too_small
1,INFINIX,Économique,8,1,too_small
1,LESIA,Premium,6,1,too_small
1,LESIA,Économique,6,1,too_small
1,OPPO,Milieu de gamme,7,1,too_small
1,OPPO,Premium,7,1,too_small
1,OPPO,Économique,8,1,too_small
1,OSCAL,Gamme unique,7,1,too_small
1,SAMSUNG,Milieu de gamme,27,3,clustered
1,SAMSUNG,Premium,25,2,clustered
1,SAMSUNG,Économique,27,3,clustered
1,TECNO,Gamme unique,6,1,too_small
1,VIVO,Milieu de gamme,9,1,too_small
1,VIVO,Premium,7,1,too_small
1,VIVO,Économique,8,1,too_small
1,XIAOMI,Milieu de gamme,14,1,no_structure
1,XIAOMI,Premium,15,1,no_structure
1,XIAOMI,Économique,20,1,no_structure
