segment_col,segment,famille,n_lignes,n_produits_distincts,n_predicteurs,n_min_requis,ajuste,raison_rejet,n_test,r2_test,rmse_tnd_test,r2_test_categorie,rmse_tnd_test_categorie,comparaison_possible,retenu_pour_prediction
cluster_direct,0,hedonic_ols,23,7,5,50,False,n_lignes=23 < n_min_requis=50 (ratio=10),4,,,,,False,False
cluster_direct,0,ridge,23,7,5,25,False,n_lignes=23 < n_min_requis=25 (ratio=5),4,,,,,False,False
cluster_direct,0,random_forest,23,7,5,25,False,n_lignes=23 < n_min_requis=25 (ratio=5),4,,,,,False,False
cluster_direct,1,hedonic_ols,96,28,10,100,False,n_lignes=96 < n_min_requis=100 (ratio=10),31,,,,,False,False
cluster_direct,1,ridge,96,28,10,50,True,,31,0.8019,8.95,0.8162,8.93,True,False
cluster_direct,1,random_forest,96,28,10,50,True,,31,0.8724,7.86,0.8727,7.85,True,False
cluster_direct,2,hedonic_ols,56,15,7,70,False,n_lignes=56 < n_min_requis=70 (ratio=10),16,,,,,False,False
cluster_direct,2,ridge,56,15,7,35,True,,16,0.372,9.16,-0.2333,16.38,True,True
cluster_direct,2,random_forest,56,15,7,35,True,,16,0.8159,5.29,0.8494,4.71,True,False
cluster_direct,3,hedonic_ols,18,6,4,40,False,n_lignes=18 < n_min_requis=40 (ratio=10),3,,,,,False,False
cluster_direct,3,ridge,18,6,4,20,False,n_lignes=18 < n_min_requis=20 (ratio=5),3,,,,,False,False
cluster_direct,3,random_forest,18,6,4,20,False,n_lignes=18 < n_min_requis=20 (ratio=5),3,,,,,False,False
cluster_direct,4,hedonic_ols,31,8,7,70,False,n_lignes=31 < n_min_requis=70 (ratio=10),4,,,,,False,False
cluster_direct,4,ridge,31,8,7,35,False,n_lignes=31 < n_min_requis=35 (ratio=5),4,,,,,False,False
cluster_direct,4,random_forest,31,8,7,35,False,n_lignes=31 < n_min_requis=35 (ratio=5),4,,,,,False,False
cluster_direct,5,hedonic_ols,9,3,4,40,False,n_lignes=9 < n_min_requis=40 (ratio=10),3,,,,,False,False
cluster_direct,5,ridge,9,3,4,20,False,n_lignes=9 < n_min_requis=20 (ratio=5),3,,,,,False,False
cluster_direct,5,random_forest,9,3,4,20,False,n_lignes=9 < n_min_requis=20 (ratio=5),3,,,,,False,False
