feature,ols_coefficient,ridge_coefficient,ols_ridge_signes_accordent,rf_importance
taille_ecran,0.6917869831943922,0.6917870675669133,True,0.7018648508638926
marque_X-TIGI,0.37817922952299793,0.37818477532417594,True,0.07608266006929516
marque_UNIWA,-0.5191584217245394,-0.5191413506596062,True,0.06505869715687505
ram_go,0.0007044293740536633,0.0007044895873767327,True,0.06153580331117437
marque_NOKIA,0.23931210286296567,0.23931926857869198,True,0.03372291523218593
os_platform_S30+,0.4117888957775785,0.4117825985482147,True,0.02416710554638932
has_bluetooth,-0.3958398532180532,-0.3958259125879696,True,0.009642907458694134
marque_JOYTEL,-0.25375890146596386,-0.25375488537659646,True,0.008993682061470967
marque_PHILIPS,-0.30811840254312856,-0.30810032482271366,True,0.006413176033517101
os_platform_Sans Système,1.4216999089101574e-05,8.004220653525335e-06,True,0.003904230358824004
marque_CLEVER,-0.1707094459545549,-0.17069557489069875,True,0.003502230367569956
os_platform_Inconnu,-0.17716949864370116,-0.17716411436953325,True,0.0016864810442306364
marque_ITEL,-0.5658567961410994,-0.5658378313072129,True,0.001361944339215649
marque_SMARTEC,0.022557033252214684,0.02256065607756919,True,0.0010090563833336495
stockage_go,-0.00016386036884607003,-0.00016385900107333728,True,0.0006401519814456628
marque_EVERTEK,-0.07588481787572161,-0.07588160640782725,True,0.00041410779188401256
marque_MAXFONE,0.2332303287694867,0.23323229305704454,True,1.657968033568906e-15
