nom,url,prix_tnd,marque,ram_go,stockage_go,taille_ecran,os_platform,has_bluetooth,semaine,gamme_prix,cluster_id,cluster_direct
Téléphone Portable AMI C14 Style 3 - Bleu Champagne,https://www.mytek.tn/telephone-portable-ami-c14-style-3-bleu-champagne.html,35.9,AMI,16.0,32.0,1.77,Autres,1,1,Économique,AMI::Économique::c0,1
Téléphone Portable AMI C14 Style 4 - Noir,https://www.mytek.tn/telephone-portable-ami-c14-style-4-noir.html,35.9,AMI,16.0,32.0,1.77,Autres,1,1,Économique,AMI::Économique::c0,1
Téléphone Portable AMI C14 Style 4 - Vert Noir,https://www.mytek.tn/telephone-portable-ami-c14-style-4-vert-noir.html,35.9,AMI,16.0,32.0,1.77,Autres,1,1,Économique,AMI::Économique::c0,1
Téléphone Portable AMI C14 Style 3 - Noir Gris,https://www.mytek.tn/telephone-portable-ami-c14-style-3-noir-gris.html,35.9,AMI,16.0,32.0,1.77,Autres,1,1,Économique,AMI::Économique::c0,1
Téléphone Portable AMI C14 Style 4 -Bleu Noir,https://www.mytek.tn/telephone-portable-ami-c14-style-4-bleu-noir.html,35.9,AMI,16.0,32.0,1.77,Autres,1,1,Économique,AMI::Économique::c0,1
Téléphone Portable AMI C14 Style 3 - Noir Vert,https://www.mytek.tn/telephone-portable-ami-c14-style-3-noir-vert.html,35.9,AMI,16.0,32.0,1.77,Autres,1,1,Économique,AMI::Économique::c0,1
Téléphone Portable AMI C14 FASHION 1- Couleur Vert,https://www.mytek.tn/telephone-portable-ami-c14-fashion-1-couleur-vert.html,39.9,AMI,12.8046875,32.0,1.8,Autres,1,1,Économique,AMI::Économique::c0,1
Téléphone Portable AMI C14 FASHION 2- Marron Foncé,https://www.mytek.tn/telephone-portable-ami-c14-fashion-2-marron-fonce.html,39.9,AMI,12.8046875,32.0,1.8,Autres,1,1,Économique,AMI::Économique::c0,1
Téléphone Portable AMI C14 FASHION 1- Couleur Noir,https://www.mytek.tn/telephone-portable-ami-c14-fashion-1-couleur-noir.html,39.9,AMI,12.8046875,32.0,1.8,Autres,1,1,Économique,AMI::Économique::c0,1
Téléphone Portable AMI C14 FASHION 2- Bleu Noir,https://www.mytek.tn/telephone-portable-ami-c14-fashion-2-bleu-noir.html,39.9,AMI,12.8046875,32.0,1.8,Autres,1,1,Économique,AMI::Économique::c0,1
Téléphone Portable AMI F35 Strong 2  - Noir Champagne,https://www.mytek.tn/telephone-portable-ami-f35-strong-2-noir-orange.html,79.9,AMI,0.02421875,32.0,2.4,Autres,1,1,Économique,AMI::Économique::c0,1
