feature,importance_mean,importance_std
taille_ecran,1.46183642239993,0.13627014425198233
resolution_affichage_Full HD,0.010585906252522027,0.0046768765886651634
taux_rafraichissement,0.010333104724157327,0.0034963588935460017
technologie_dalle_OLED,0.0051465205235849965,0.0012665346306815887
has_wifi6,0.0044789874862731,0.0010507365725168786
marque_THOMSON,0.0029983149378998595,0.0007887401954095942
has_bluetooth,0.001515721007773274,0.0006510750177741511
os_platform_Google TV,0.001385015047886895,0.0014924635687195817
os_platform_Tizen,0.0010476698673997475,0.0004275761379551846
marque_TCL,0.000957657225290176,0.000830807858724665
marque_SAMSUNG,0.0007704374805095448,0.0004146798779516466
technologie_dalle_QLED,0.0004041963859349296,0.00014600629543932154
marque_MAXWELL,0.00010675438099712053,0.00045268354387838845
marque_VEGA,3.1510923023558846e-05,0.00040779769848547156
has_4g,1.6625727325070282e-05,2.588663086847794e-05
os_platform_VIDAA,1.6676601555465354e-06,1.7474569494630848e-06
marque_HAIER,4.2116943295145147e-07,4.433310296353467e-06
marque_BIOLUX,0.0,0.0
os_platform_Inconnu,0.0,0.0
technologie_dalle_QNED,0.0,0.0
marque_IRIS,0.0,0.0
marque_ETERNAL,0.0,0.0
marque_IFFALCON,0.0,0.0
marque_ECOSAT,0.0,0.0
resolution_affichage_HD Ready,0.0,0.0
smart_tv,-9.398016059939396e-05,7.933259159948023e-05
technologie_dalle_Mini-LED,-0.00014243687828747743,0.00012209289813677824
marque_TELEFUNKEN,-0.00020065986371734513,0.00029594738774164084
marque_HISENSE,-0.00024194464577836916,0.00036050597285642357
has_ethernet,-0.0005353923280483119,0.002079479667017511
has_wifi,-0.0028875969981875804,0.00048343719781282783
os_platform_Autre,-0.003303308342857947,0.0008996006418111042
hdr,-0.00357829836634701,0.0012872119613330697
marque_LG,-0.006131357041081897,0.0036258297939878244
os_platform_webOS,-0.007490514095385448,0.003269108659956965
