semaine_reference,marque,gamme_prix,n,k,outcome
1,ECOSAT,Gamme unique,5,1,too_small
1,HISENSE,Gamme unique,9,1,too_small
1,LG,Premium,5,1,too_small
1,LG,Économique,6,1,too_small
1,MAXWELL,Gamme unique,7,1,too_small
1,SAMSUNG,Milieu de gamme,6,1,too_small
1,SAMSUNG,Premium,7,1,too_small
1,SAMSUNG,Économique,8,1,too_small
1,TCL,Milieu de gamme,6,1,too_small
1,TCL,Premium,6,1,too_small
1,TCL,Économique,6,1,too_small
1,TELEFUNKEN,Milieu de gamme,6,1,too_small
1,TELEFUNKEN,Premium,6,1,too_small
1,TELEFUNKEN,Économique,6,1,too_small
1,THOMSON,Premium,4,1,too_small
1,THOMSON,Économique,6,1,too_small
1,VEGA,Gamme unique,6,1,too_small
