categorie,marque,gamme,cluster_segmentation,cle_produit,semaine,prix_tnd
pc_bureau,ASUS,Milieu de gamme,profil_descriptif,https://www.mytek.tn/pc-de-bureau-asus-expertcenter-p500mv-i5-13e-gen-16g-512g-ssd-gris.html,1,2139.0
pc_bureau,ASUS,Milieu de gamme,profil_descriptif,https://www.mytek.tn/pc-de-bureau-asus-expertcenter-p500mv-i5-13e-gen-16g-512g-ssd-gris.html,2,2139.0
pc_bureau,ASUS,Milieu de gamme,profil_descriptif,https://www.mytek.tn/pc-de-bureau-asus-expertcenter-p500mv-i5-13e-gen-16g-512g-ssd-gris.html,3,2139.0
pc_bureau,ASUS,Milieu de gamme,profil_descriptif,https://www.mytek.tn/pc-de-bureau-asus-expertcenter-p500mv-i5-13e-gen-16g-512g-ssd-gris.html,4,2139.0
pc_bureau,ASUS,Milieu de gamme,profil_descriptif,https://www.mytek.tn/pc-de-bureau-asus-expertcenter-p500mv-i5-13e-gen-16go-512go-ssd-gris.html,1,2129.0
pc_bureau,ASUS,Milieu de gamme,profil_descriptif,https://www.mytek.tn/pc-de-bureau-asus-expertcenter-p500mv-i5-13e-gen-16go-512go-ssd-gris.html,2,2129.0
pc_bureau,ASUS,Milieu de gamme,profil_descriptif,https://www.mytek.tn/pc-de-bureau-asus-expertcenter-p500mv-i5-13e-gen-16go-512go-ssd-gris.html,3,2129.0
pc_bureau,ASUS,Milieu de gamme,profil_descriptif,https://www.mytek.tn/pc-de-bureau-asus-expertcenter-p500mv-i7-13e-gen-8g-512go-ssd-gris.html,1,2099.0
pc_bureau,ASUS,Milieu de gamme,profil_descriptif,https://www.mytek.tn/pc-de-bureau-asus-expertcenter-p500mv-i7-13e-gen-8g-512go-ssd-gris.html,2,2099.0
pc_bureau,ASUS,Milieu de gamme,profil_descriptif,https://www.mytek.tn/pc-de-bureau-asus-expertcenter-p500mv-i7-13e-gen-8g-512go-ssd-gris.html,3,2099.0
pc_bureau,ASUS,Milieu de gamme,profil_descriptif,https://www.mytek.tn/pc-de-bureau-asus-expertcenter-p500mv-i7-13e-gen-8g-512go-ssd-gris.html,4,2099.0
pc_bureau,ASUS,Milieu de gamme,profil_descriptif,https://www.mytek.tn/pc-de-bureau-asus-expertcenter-p500mv-i7-13e-gen-8go-512go-ssd-gris.html,1,1999.0
pc_bureau,ASUS,Milieu de gamme,profil_descriptif,https://www.mytek.tn/pc-de-bureau-asus-expertcenter-p500mv-i7-13e-gen-8go-512go-ssd-gris.html,2,1999.0
pc_bureau,ASUS,Milieu de gamme,profil_descriptif,https://www.mytek.tn/pc-de-bureau-asus-expertcenter-p500mv-i7-13e-gen-8go-512go-ssd-gris.html,3,1999.0
pc_bureau,ASUS,Milieu de gamme,profil_descriptif,https://www.mytek.tn/pc-de-bureau-asus-expertcenter-p500mv-i7-13e-gen-8go-512go-ssd-gris.html,4,1999.0
pc_bureau,ASUS,Milieu de gamme,profil_descriptif,https://www.mytek.tn/pc-de-bureau-asus-expertcenter-p500mv-i7-13eme-gen-8g-512go-ssd-noir.html,1,2059.0
pc_bureau,ASUS,Milieu de gamme,profil_descriptif,https://www.mytek.tn/pc-de-bureau-asus-expertcenter-p500mv-i7-13eme-gen-8g-512go-ssd-noir.html,2,2059.0
pc_bureau,ASUS,Milieu de gamme,profil_descriptif,https://www.mytek.tn/pc-de-bureau-asus-expertcenter-p500mv-i7-13eme-gen-8g-512go-ssd-noir.html,3,2059.0
pc_bureau,ASUS,Milieu de gamme,profil_descriptif,https://www.mytek.tn/pc-de-bureau-asus-expertcenter-p500mv-i7-13eme-gen-8g-512go-ssd-noir.html,4,2059.0
pc_bureau,ASUS,Milieu de gamme,profil_descriptif,https://www.mytek.tn/pc-de-bureau-asus-expertcenter-p500mv-intel-core-7-240h-8go-512go-ssd-gris.html,1,1939.0
