categorie,marque,gamme,cluster_segmentation,cle_produit,semaine,prix_tnd
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-400-lite-5g-8go-256go-gris.html,1,959.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-4g-8go-256go-desert-gold.html,1,799.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-4g-8go-256go-desert-gold.html,2,799.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-4g-8go-256go-desert-gold.html,3,799.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-4g-8go-256go-desert-gold.html,4,799.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-4g-8go-256go-meteor-silver.html,1,799.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-4g-8go-256go-meteor-silver.html,2,799.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-4g-8go-256go-meteor-silver.html,3,799.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-4g-8go-256go-meteor-silver.html,4,799.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-4g-8go-256go-velvet-black.html,1,799.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-4g-8go-256go-velvet-black.html,2,799.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-4g-8go-256go-velvet-black.html,3,799.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-4g-8go-256go-velvet-black.html,4,799.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-5g-8go-256go-desert-gold.html,1,799.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-5g-8go-256go-meteor-silver.html,1,799.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-5g-8go-256go-velvet-black.html,1,799.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-5g-8go-256go-velvet-black.html,2,799.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x7d-5g-8go-256go-velvet-black.html,3,799.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x8d-4g-8go-256go-bleu-clair.html,1,979.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x8d-4g-8go-256go-bleu-clair.html,2,979.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x8d-4g-8go-256go-bleu-clair.html,3,979.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x8d-4g-8go-256go-bleu-clair.html,4,979.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x8d-4g-8go-256go-velvet-noir.html,1,979.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x8d-4g-8go-256go-velvet-noir.html,2,979.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x8d-4g-8go-256go-velvet-noir.html,3,979.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x8d-4g-8go-256go-velvet-noir.html,4,979.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x8d-4g-8go-256go-velvet-vert.html,1,979.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x8d-4g-8go-256go-velvet-vert.html,2,979.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x8d-4g-8go-256go-velvet-vert.html,3,979.0
smartphones,HONOR,Milieu de gamme,profil_descriptif,https://www.mytek.tn/smartphone-honor-x8d-4g-8go-256go-velvet-vert.html,4,979.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-5g-256go-12go-golden-white.html,1,1999.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-5g-256go-12go-golden-white.html,2,1999.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-5g-256go-12go-golden-white.html,3,1999.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-5g-256go-12go-golden-white.html,4,1999.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-5g-256go-12go-noir.html,1,1999.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-5g-256go-12go-noir.html,2,1999.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-5g-256go-12go-noir.html,3,1999.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-5g-256go-12go-noir.html,4,1999.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-5g-256go-12go-orange.html,1,1999.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-5g-256go-12go-orange.html,2,1999.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-5g-256go-12go-orange.html,3,1999.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-5g-256go-12go-orange.html,4,1999.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-lite-5g-8go-256go-gris.html,1,1399.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-lite-5g-8go-256go-gris.html,2,1399.0
smartphones,HONOR,Premium,profil_descriptif,https://www.mytek.tn/smartphone-honor-600-lite-5g-8go-256go-gris.html,3,1399.0
