categorie,marque,gamme,cluster_segmentation,cle_produit,semaine,prix_tnd
televiseurs,ECOSAT,Gamme unique,profil_descriptif,https://www.mytek.tn/televiseur-ecosat-32-led-smart-tv-avec-recepteur-smart-integree.html,1,439.0
televiseurs,ECOSAT,Gamme unique,profil_descriptif,https://www.mytek.tn/televiseur-ecosat-32-led-smart-tv-avec-recepteur-smart-integree.html,2,439.0
televiseurs,ECOSAT,Gamme unique,profil_descriptif,https://www.mytek.tn/televiseur-ecosat-32-led-smart-tv-avec-recepteur-smart-integree.html,3,439.0
televiseurs,ECOSAT,Gamme unique,profil_descriptif,https://www.mytek.tn/televiseur-ecosat-32-led-smart-tv-avec-recepteur-smart-integree.html,4,439.0
televiseurs,ECOSAT,Gamme unique,profil_descriptif,https://www.mytek.tn/televiseur-ecosat-43-google-tv-qled-fhd-noir.html,1,859.0
televiseurs,ECOSAT,Gamme unique,profil_descriptif,https://www.mytek.tn/televiseur-ecosat-43-google-tv-qled-fhd-noir.html,2,859.0
televiseurs,ECOSAT,Gamme unique,profil_descriptif,https://www.mytek.tn/televiseur-ecosat-43-google-tv-qled-fhd-noir.html,3,859.0
televiseurs,ECOSAT,Gamme unique,profil_descriptif,https://www.mytek.tn/televiseur-ecosat-43-google-tv-qled-fhd-noir.html,4,859.0
televiseurs,ECOSAT,Gamme unique,profil_descriptif,https://www.mytek.tn/televiseur-ecosat-55-google-tv-qled-4k-uhd-noir.html,1,1499.0
televiseurs,ECOSAT,Gamme unique,profil_descriptif,https://www.mytek.tn/televiseur-ecosat-55-google-tv-qled-4k-uhd-noir.html,2,1479.0
televiseurs,ECOSAT,Gamme unique,profil_descriptif,https://www.mytek.tn/televiseur-ecosat-55-google-tv-qled-4k-uhd-noir.html,3,1479.0
televiseurs,ECOSAT,Gamme unique,profil_descriptif,https://www.mytek.tn/televiseur-ecosat-55-google-tv-qled-4k-uhd-noir.html,4,1479.0
televiseurs,ECOSAT,Gamme unique,profil_descriptif,https://www.mytek.tn/tv-ecosat-32-pouces-led-hd-32t2-gris.html,1,385.0
televiseurs,ECOSAT,Gamme unique,profil_descriptif,https://www.mytek.tn/tv-ecosat-32-pouces-led-hd-32t2-gris.html,2,385.0
televiseurs,ECOSAT,Gamme unique,profil_descriptif,https://www.mytek.tn/tv-ecosat-32-pouces-led-hd-32t2-gris.html,3,385.0
