cle_produit,categorie,marque,gamme,cluster_segmentation
https://www.mytek.tn/smartphone-samsung-galaxy-a07-4go-64go-couleur-noir.html,smartphones,SAMSUNG,Économique,0
https://www.mytek.tn/smartphone-samsung-galaxy-a07-64go-4go-vert.html,smartphones,SAMSUNG,Économique,0
https://www.mytek.tn/smartphone-samsung-galaxy-a07-4go-64go-light-violet.html,smartphones,SAMSUNG,Économique,0
https://www.mytek.tn/smartphone-samsung-galaxy-a07-4go-128go-4g-noir.html,smartphones,SAMSUNG,Économique,0
https://www.mytek.tn/smartphone-samsung-galaxy-a07-4go-128go-4g-green.html,smartphones,SAMSUNG,Économique,0
https://www.mytek.tn/smartphone-samsung-galaxy-a07-4g-8go-128go-violet-clair.html,smartphones,SAMSUNG,Économique,0
https://www.mytek.tn/smartphone-samsung-galaxy-a06-5g-4go-64go-noir.html,smartphones,SAMSUNG,Économique,1
https://www.mytek.tn/smartphone-samsung-galaxy-a07-ta-12go-128go-couleur-vert.html,smartphones,SAMSUNG,Économique,0
https://www.mytek.tn/smartphone-samsung-galaxy-a07-6go-128go-couleur-noir.html,smartphones,SAMSUNG,Économique,0
https://www.mytek.tn/smartphone-samsung-galaxy-a07-12go-128go-violet-clair.html,smartphones,SAMSUNG,Économique,0
https://www.mytek.tn/smartphone-samsung-galaxy-a07-12go-128go-vert.html,smartphones,SAMSUNG,Économique,0
https://www.mytek.tn/samsung-galaxy-a17-4g-8go-128go-gris.html,smartphones,SAMSUNG,Économique,0
https://www.mytek.tn/samsung-galaxy-a17-4g-8go-128go-noir.html,smartphones,SAMSUNG,Économique,0
https://www.mytek.tn/samsung-galaxy-a17-4g-8go-128go-light-blue.html,smartphones,SAMSUNG,Économique,0
https://www.mytek.tn/smartphone-samsung-galaxy-a17-4g-6go-128go-noir.html,smartphones,SAMSUNG,Économique,0
https://www.mytek.tn/smartphone-samsung-galaxy-a17-4g-6go-128go-bleu-clair.html,smartphones,SAMSUNG,Économique,0
https://www.mytek.tn/smartphone-samsung-galaxy-a17-5g-6go-128go-gris.html,smartphones,SAMSUNG,Économique,2
https://www.mytek.tn/smartphone-samsung-galaxy-a17-5g-6go-128go-bleu.html,smartphones,SAMSUNG,Économique,2
https://www.mytek.tn/smartphone-samsung-galaxy-a17-5g-6go-128go-noir.html,smartphones,SAMSUNG,Économique,2
https://www.mytek.tn/smartphone-samsung-galaxy-a16-5g-8go-256go-noir.html,smartphones,SAMSUNG,Économique,1
https://www.mytek.tn/smartphone-samsung-galaxy-a26-5g-6go-128go-noir.html,smartphones,SAMSUNG,Économique,1
https://www.mytek.tn/smartphone-samsung-galaxy-a26-5g-6go-128go-rose.html,smartphones,SAMSUNG,Économique,1
https://www.mytek.tn/smartphone-samsung-galaxy-a17-5g-8go-256go-noir.html,smartphones,SAMSUNG,Économique,2
https://www.mytek.tn/smartphone-samsung-galaxy-a17-5g-8go-256go-bleu.html,smartphones,SAMSUNG,Économique,2
https://www.mytek.tn/smartphone-samsung-galaxy-a17-5g-8go-256go-gris.html,smartphones,SAMSUNG,Économique,2
https://www.mytek.tn/smartphone-samsung-galaxy-a26-5g-8go-256go-blanc.html,smartphones,SAMSUNG,Économique,1
https://www.mytek.tn/smartphone-samsung-galaxy-a26-5g-8go-256go-noir.html,smartphones,SAMSUNG,Économique,1
https://www.mytek.tn/smartphone-samsung-galaxy-a36-5g-8go-128go-noir.html,smartphones,SAMSUNG,Milieu de gamme,1
https://www.mytek.tn/smartphone-samsung-galaxy-a36-5g-8go-128go-blanc.html,smartphones,SAMSUNG,Milieu de gamme,1
https://www.mytek.tn/smartphone-samsung-galaxy-a36-5g-8go-256go-noir.html,smartphones,SAMSUNG,Milieu de gamme,1
https://www.mytek.tn/smartphone-samsung-galaxy-a36-5g-8go-256go-lavender.html,smartphones,SAMSUNG,Milieu de gamme,1
https://www.mytek.tn/smartphone-samsung-galaxy-a36-5g-8go-256go-blanc.html,smartphones,SAMSUNG,Milieu de gamme,1
https://www.mytek.tn/smartphone-samsung-galaxy-a55-5g-16go-256go-awesome-navy.html,smartphones,SAMSUNG,Milieu de gamme,2
https://www.mytek.tn/smartphone-samsung-galaxy-a55-5g-256go-16go-ice-blue.html,smartphones,SAMSUNG,Milieu de gamme,2
https://www.mytek.tn/smartphone-samsung-galaxy-a56-5g-8go-128go-graphite.html,smartphones,SAMSUNG,Milieu de gamme,1
https://www.mytek.tn/smartphone-samsung-galaxy-a56-5g-8go-128go-gris.html,smartphones,SAMSUNG,Milieu de gamme,1
https://www.mytek.tn/smartphone-samsung-galaxy-a37-5g-8go-128go-blanc.html,smartphones,SAMSUNG,Milieu de gamme,0
https://www.mytek.tn/smartphone-samsung-galaxy-a37-5g-8go-128go-lavender.html,smartphones,SAMSUNG,Milieu de gamme,0
https://www.mytek.tn/smartphone-samsung-galaxy-a37-5g-8go-128go-gray-green.html,smartphones,SAMSUNG,Milieu de gamme,0
https://www.mytek.tn/smartphone-samsung-galaxy-a37-5g-8go-128go-awesome-charcoal.html,smartphones,SAMSUNG,Milieu de gamme,0
https://www.mytek.tn/smartphone-samsung-galaxy-a56-5g-8go-256go-graphite.html,smartphones,SAMSUNG,Milieu de gamme,1
https://www.mytek.tn/smartphone-samsung-galaxy-a56-5g-16go-256go-gris.html,smartphones,SAMSUNG,Milieu de gamme,1
https://www.mytek.tn/smartphone-samsung-galaxy-a37-5g-8go-256go-blanc.html,smartphones,SAMSUNG,Milieu de gamme,2
https://www.mytek.tn/smartphone-samsung-galaxy-a37-5g-8go-256go-lavender.html,smartphones,SAMSUNG,Milieu de gamme,2
https://www.mytek.tn/smartphone-samsung-galaxy-a37-5g-8go-256go-gray-green.html,smartphones,SAMSUNG,Milieu de gamme,2
https://www.mytek.tn/smartphone-samsung-galaxy-a37-5g-8go-256go-awesome-charcoal.html,smartphones,SAMSUNG,Milieu de gamme,2
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-128go-light-blue.html,smartphones,SAMSUNG,Milieu de gamme,0
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-128go-gris.html,smartphones,SAMSUNG,Milieu de gamme,0
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-128go-navy.html,smartphones,SAMSUNG,Milieu de gamme,0
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-128go-lilas.html,smartphones,SAMSUNG,Milieu de gamme,0
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-256go-light-blue.html,smartphones,SAMSUNG,Milieu de gamme,0
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-256go-gris.html,smartphones,SAMSUNG,Milieu de gamme,0
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-256go-navy.html,smartphones,SAMSUNG,Milieu de gamme,0
https://www.mytek.tn/smartphone-samsung-galaxy-a57-5g-8go-256go-lilas.html,smartphones,SAMSUNG,Milieu de gamme,0
https://www.mytek.tn/smartphone-samsung-galaxy-s25-fe-8go-256go-bleu-clair.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s25-fe-8go-256go-bleu-marine.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s25-fe-8go-256go-noir.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s25-fe-8go-256go-blanc.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s25-5g-12go-256go-ice-bleu.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s25-12go-256go-light-green.html,smartphones,SAMSUNG,Premium,1
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-256go-blanc.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-256go-violet-de-cobalt.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-256go-noir.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s26-5g-12go-256g-bleu-ciel.html,smartphones,SAMSUNG,Premium,0
https://www.mytek.tn/smartphone-samsung-galaxy-s25-ultra-5g-12go-256go-noir-titanium.html,smartphones,SAMSUNG,Premium,1
https://www.mytek.tn/smartphone-samsung-galaxy-s25-ultra-5g-12go-256go-gris-titanium.html,smartphones,SAMSUNG,Premium,1
https://www.mytek.tn/smartphone-samsung-galaxy-s25-ultra-5g-12go-256go-bleu-titanium.html,smartphones,SAMSUNG,Premium,1
