categorie,approche,cluster,marque,gamme_prix,semaine,n_produits,prix_geometrique_tnd
pc_bureau,N1_technique,c0,,,1,68,3684.24
pc_bureau,N1_technique,c0,,,2,71,3676.41
pc_bureau,N1_technique,c0,,,3,72,3632.92
pc_bureau,N1_technique,c0,,,4,74,3580.8
pc_bureau,N1_technique,c1,,,1,52,2546.01
pc_bureau,N1_technique,c1,,,2,53,2508.62
pc_bureau,N1_technique,c1,,,3,50,2534.55
pc_bureau,N1_technique,c1,,,4,51,2569.8
pc_bureau,N1_technique,c2,,,1,66,2708.75
pc_bureau,N1_technique,c2,,,2,67,2678.44
pc_bureau,N1_technique,c2,,,3,65,2696.58
pc_bureau,N1_technique,c2,,,4,61,2729.02
pc_bureau,N1_technique,c3,,,1,16,5111.14
pc_bureau,N1_technique,c3,,,2,16,5111.14
pc_bureau,N1_technique,c3,,,3,16,5111.14
pc_bureau,N1_technique,c3,,,4,15,5083.82
pc_bureau,N1_technique,c4,,,1,14,1919.81
pc_bureau,N1_technique,c4,,,2,14,2054.98
pc_bureau,N1_technique,c4,,,3,14,2054.98
pc_bureau,N1_technique,c4,,,4,14,2163.16
pc_bureau,N2_marque_gamme,ASUS::Milieu de gamme::c0,ASUS,Milieu de gamme,1,3,2051.92
pc_bureau,N2_marque_gamme,ASUS::Milieu de gamme::c0,ASUS,Milieu de gamme,2,3,2051.92
pc_bureau,N2_marque_gamme,ASUS::Milieu de gamme::c0,ASUS,Milieu de gamme,3,3,2051.92
pc_bureau,N2_marque_gamme,ASUS::Milieu de gamme::c0,ASUS,Milieu de gamme,4,3,2051.92
pc_bureau,N2_marque_gamme,ASUS::Milieu de gamme::c1,ASUS,Milieu de gamme,1,2,2133.99
pc_bureau,N2_marque_gamme,ASUS::Milieu de gamme::c1,ASUS,Milieu de gamme,2,2,2133.99
pc_bureau,N2_marque_gamme,ASUS::Milieu de gamme::c1,ASUS,Milieu de gamme,3,2,2133.99
pc_bureau,N2_marque_gamme,ASUS::Milieu de gamme::c1,ASUS,Milieu de gamme,4,1,2139.0
pc_bureau,N2_marque_gamme,ASUS::Premium::c0,ASUS,Premium,1,3,2451.97
pc_bureau,N2_marque_gamme,ASUS::Premium::c0,ASUS,Premium,2,3,2451.97
