categorie,semaine,ram_go,stockage_go,prix_geometrique_tnd,n_produits,taille_ecran,taux_rafraichissement
pc_bureau,1,19.96,710.4,3000.78,217,,
pc_bureau,2,19.93,708.34,2995.54,222,,
pc_bureau,3,20.04,713.23,3010.1,218,,
pc_bureau,4,20.11,711.48,3025.71,216,,
pc_portables,1,17.27,566.79,2940.98,528,15.61,
pc_portables,2,17.28,568.43,2956.05,558,15.59,
pc_portables,3,17.35,571.52,2973.39,529,15.61,
pc_portables,4,17.29,573.16,2960.19,540,15.61,
smartphones,1,8.87,252.85,988.71,254,6.68,
smartphones,2,8.83,249.52,991.01,242,6.68,
smartphones,3,8.6,242.43,962.4,257,6.68,
smartphones,4,8.58,240.56,961.53,259,6.68,
telephones_portables,1,5.07,32.0,47.12,69,1.97,
telephones_portables,2,19.6,93.47,53.31,75,2.08,
telephones_portables,3,19.6,37.48,55.98,75,2.07,
telephones_portables,4,19.6,37.48,55.98,75,2.07,
televiseurs,1,,,1909.91,112,57.55,81.63
televiseurs,2,,,1922.24,111,57.71,82.99
televiseurs,3,,,1922.24,111,57.71,82.99
televiseurs,4,,,1888.33,114,57.58,79.67
