categorie,semaine,n_produits_poole,n_retenus_marque_suffisante,pct_retenus_marque_suffisante,n1_couverts,n1_pct_couverture,n2_couverts,n2_pct_couverture
pc_bureau,1,217,216,99.5,216,100.0,216,100.0
pc_bureau,2,222,221,99.5,221,100.0,221,100.0
pc_bureau,3,218,217,99.5,217,100.0,217,100.0
pc_bureau,4,216,215,99.5,215,100.0,215,100.0
pc_portables,1,528,528,100.0,528,100.0,528,100.0
pc_portables,2,558,558,100.0,558,100.0,558,100.0
pc_portables,3,529,529,100.0,529,100.0,529,100.0
pc_portables,4,540,540,100.0,540,100.0,540,100.0
smartphones,1,254,253,99.6,253,100.0,253,100.0
smartphones,2,242,241,99.6,241,100.0,241,100.0
smartphones,3,257,256,99.6,256,100.0,256,100.0
smartphones,4,259,258,99.6,258,100.0,258,100.0
telephones_portables,1,69,68,98.6,68,100.0,64,94.1
telephones_portables,2,74,74,100.0,74,100.0,74,100.0
telephones_portables,3,74,74,100.0,74,100.0,70,94.6
telephones_portables,4,74,74,100.0,74,100.0,70,94.6
televiseurs,1,112,109,97.3,109,100.0,109,100.0
televiseurs,2,111,108,97.3,108,100.0,108,100.0
televiseurs,3,111,108,97.3,108,100.0,108,100.0
televiseurs,4,114,107,93.9,107,100.0,107,100.0
