categorie,semaine,n_produits,modele,prix_reel_geometrique_tnd,prix_estime_geometrique_tnd,erreur_pct,mape_pct
pc_bureau,1,217,hedonic_ols,3000.78,3020.96,0.67,18.39
pc_bureau,1,217,ridge,3000.78,3021.1,0.68,18.32
pc_bureau,1,217,random_forest,3000.78,3015.19,0.48,12.62
pc_bureau,2,222,hedonic_ols,2995.54,3025.33,0.99,18.09
pc_bureau,2,222,ridge,2995.54,3025.78,1.01,18.01
pc_bureau,2,222,random_forest,2995.54,3016.24,0.69,12.23
pc_bureau,3,218,hedonic_ols,3010.1,3036.25,0.87,18.0
pc_bureau,3,218,ridge,3010.1,3036.51,0.88,17.94
pc_bureau,3,218,random_forest,3010.1,3029.6,0.65,12.3
pc_bureau,4,216,hedonic_ols,3025.71,3029.04,0.11,17.71
pc_bureau,4,216,ridge,3025.71,3028.62,0.1,17.66
pc_bureau,4,216,random_forest,3025.71,3036.18,0.35,12.06
pc_portables,1,528,hedonic_ols,2940.98,2920.94,-0.68,21.31
pc_portables,1,528,ridge,2940.98,2921.3,-0.67,21.46
pc_portables,1,528,random_forest,2940.98,2929.43,-0.39,11.8
pc_portables,2,558,hedonic_ols,2956.05,2933.73,-0.75,21.19
pc_portables,2,558,ridge,2956.05,2932.3,-0.8,21.34
pc_portables,2,558,random_forest,2956.05,2954.95,-0.04,11.46
pc_portables,3,529,hedonic_ols,2973.39,2950.75,-0.76,20.71
pc_portables,3,529,ridge,2973.39,2948.45,-0.84,20.8
pc_portables,3,529,random_forest,2973.39,2972.05,-0.05,11.22
pc_portables,4,540,hedonic_ols,2960.19,2947.65,-0.42,21.33
pc_portables,4,540,ridge,2960.19,2944.89,-0.52,21.34
pc_portables,4,540,random_forest,2960.19,2966.37,0.21,11.33
smartphones,1,254,hedonic_ols,988.71,996.19,0.76,25.94
smartphones,1,254,ridge,988.71,995.59,0.7,25.82
smartphones,1,254,random_forest,988.71,998.55,1.0,3.47
smartphones,2,242,hedonic_ols,991.01,990.65,-0.04,24.98
smartphones,2,242,ridge,991.01,989.7,-0.13,24.87
smartphones,2,242,random_forest,991.01,994.19,0.32,2.77
smartphones,3,257,hedonic_ols,962.4,953.96,-0.88,24.71
smartphones,3,257,ridge,962.4,953.85,-0.89,24.56
smartphones,3,257,random_forest,962.4,963.74,0.14,2.76
smartphones,4,259,hedonic_ols,961.53,946.15,-1.6,24.6
smartphones,4,259,ridge,961.53,946.1,-1.6,24.45
smartphones,4,259,random_forest,961.53,960.83,-0.07,2.89
telephones_portables,1,69,hedonic_ols,47.12,47.66,1.16,10.22
telephones_portables,1,69,ridge,47.12,47.66,1.16,10.22
telephones_portables,1,69,random_forest,47.12,47.39,0.58,2.01
telephones_portables,2,75,hedonic_ols,53.31,53.84,0.99,9.42
telephones_portables,2,75,ridge,53.31,53.84,0.99,9.42
telephones_portables,2,75,random_forest,53.31,53.0,-0.59,2.38
telephones_portables,3,75,hedonic_ols,55.98,56.02,0.06,10.5
telephones_portables,3,75,ridge,55.98,56.02,0.06,10.5
telephones_portables,3,75,random_forest,55.98,55.3,-1.22,1.54
telephones_portables,4,75,hedonic_ols,55.98,56.02,0.06,10.5
telephones_portables,4,75,ridge,55.98,56.02,0.06,10.5
telephones_portables,4,75,random_forest,55.98,55.3,-1.22,1.54
televiseurs,1,112,hedonic_ols,1909.91,1939.95,1.57,9.39
televiseurs,1,112,ridge,1909.91,1945.01,1.84,9.92
televiseurs,1,112,random_forest,1909.91,1926.32,0.86,5.43
televiseurs,2,111,hedonic_ols,1922.24,1952.8,1.59,9.31
televiseurs,2,111,ridge,1922.24,1956.92,1.8,9.75
televiseurs,2,111,random_forest,1922.24,1939.23,0.88,5.25
televiseurs,3,111,hedonic_ols,1922.24,1952.8,1.59,9.31
televiseurs,3,111,ridge,1922.24,1956.92,1.8,9.75
televiseurs,3,111,random_forest,1922.24,1939.23,0.88,5.25
televiseurs,4,114,hedonic_ols,1888.33,1915.52,1.44,8.96
televiseurs,4,114,ridge,1888.33,1915.62,1.45,9.45
televiseurs,4,114,random_forest,1888.33,1901.95,0.72,5.25
