categorie,marque,gamme,cluster,semaine,moyenne_geometrique,moyenne_estimee_ridge,moyenne_estimee_hedonic,moyenne_estimee_rf,erreur_ridge_pct,erreur_hedonic_pct,erreur_rf_pct,n_produits,source_ridge,source_hedonic,source_rf
pc_bureau,ASUS,Milieu de gamme,c0,1,2059.4,2333.75,2277.21,2206.53,13.32,10.58,7.14,6,categorie,categorie,categorie
pc_bureau,ASUS,Milieu de gamme,c0,2,2059.4,2333.75,2277.21,2206.53,13.32,10.58,7.14,6,categorie,categorie,categorie
pc_bureau,ASUS,Milieu de gamme,c0,3,2059.4,2333.75,2277.21,2206.53,13.32,10.58,7.14,6,categorie,categorie,categorie
pc_bureau,ASUS,Milieu de gamme,c0,4,2045.76,2369.7,2315.39,2201.57,15.83,13.18,7.62,5,categorie,categorie,categorie
pc_bureau,ASUS,Premium,c0,1,2490.95,2387.83,2321.77,2286.71,-4.14,-6.79,-8.2,6,categorie,categorie,categorie
pc_bureau,ASUS,Premium,c0,2,2490.95,2387.83,2321.77,2286.71,-4.14,-6.79,-8.2,6,categorie,categorie,categorie
pc_bureau,ASUS,Premium,c0,3,2490.95,2387.83,2321.77,2286.71,-4.14,-6.79,-8.2,6,categorie,categorie,categorie
pc_bureau,ASUS,Premium,c0,4,2483.41,2367.91,2304.46,2244.33,-4.65,-7.21,-9.63,5,categorie,categorie,categorie
pc_bureau,ASUS,Économique,c0,1,1624.74,1577.12,1525.52,1678.69,-2.93,-6.11,3.32,6,categorie,categorie,categorie
pc_bureau,ASUS,Économique,c0,2,1624.74,1577.12,1525.52,1678.69,-2.93,-6.11,3.32,6,categorie,categorie,categorie
pc_bureau,ASUS,Économique,c0,3,1624.74,1577.12,1525.52,1678.69,-2.93,-6.11,3.32,6,categorie,categorie,categorie
pc_bureau,ASUS,Économique,c0,4,1646.53,1629.7,1578.75,1721.09,-1.02,-4.12,4.53,4,categorie,categorie,categorie
pc_bureau,DELL,Milieu de gamme,c0,1,2108.03,2256.32,2288.48,2153.06,7.03,8.56,2.14,7,categorie,categorie,categorie
pc_bureau,DELL,Milieu de gamme,c0,2,2098.56,2247.88,2320.77,2163.39,7.12,10.59,3.09,5,categorie,categorie,categorie
pc_bureau,DELL,Milieu de gamme,c0,3,2118.94,2275.26,2342.54,2187.7,7.38,10.55,3.25,4,categorie,categorie,categorie
pc_bureau,DELL,Milieu de gamme,c0,4,2088.52,2226.93,2258.13,2121.26,6.63,8.12,1.57,6,categorie,categorie,categorie
pc_bureau,DELL,Premium,c0,1,3227.44,2811.24,2970.88,2780.9,-12.9,-7.95,-13.84,7,categorie,categorie,categorie
pc_bureau,DELL,Premium,c0,2,3227.44,2811.24,2970.88,2780.9,-12.9,-7.95,-13.84,7,categorie,categorie,categorie
pc_bureau,DELL,Premium,c0,3,3227.44,2811.24,2970.88,2780.9,-12.9,-7.95,-13.84,7,categorie,categorie,categorie
pc_bureau,DELL,Premium,c0,4,3201.9,2811.23,2991.22,2658.01,-12.2,-6.58,-16.99,6,categorie,categorie,categorie
pc_bureau,DELL,Économique,c0,1,1644.6,1928.73,1931.43,1682.33,17.28,17.44,2.29,7,categorie,categorie,categorie
pc_bureau,DELL,Économique,c0,2,1646.21,1891.89,1890.11,1663.95,14.92,14.82,1.08,6,categorie,categorie,categorie
pc_bureau,DELL,Économique,c0,3,1646.21,1891.89,1890.11,1663.95,14.92,14.82,1.08,6,categorie,categorie,categorie
pc_bureau,DELL,Économique,c0,4,1646.21,1891.89,1890.11,1663.95,14.92,14.82,1.08,6,categorie,categorie,categorie
pc_bureau,HP,Milieu de gamme,c0,1,3029.93,3156.5,3161.27,3311.49,4.18,4.33,9.29,5,categorie,categorie,categorie
pc_bureau,HP,Milieu de gamme,c0,2,3076.92,3265.01,3268.09,3466.33,6.11,6.21,12.66,4,categorie,categorie,categorie
pc_bureau,HP,Milieu de gamme,c0,3,3053.27,3295.36,3296.79,3453.67,7.93,7.98,13.11,3,categorie,categorie,categorie
pc_bureau,HP,Milieu de gamme,c0,4,3053.27,3295.36,3296.79,3453.67,7.93,7.98,13.11,3,categorie,categorie,categorie
pc_bureau,HP,Premium,c0,1,3736.99,2862.53,2876.75,2843.79,-23.4,-23.02,-23.9,6,categorie,categorie,categorie
pc_bureau,HP,Premium,c0,2,3736.99,2862.53,2876.75,2843.79,-23.4,-23.02,-23.9,6,categorie,categorie,categorie
pc_bureau,HP,Premium,c0,3,3736.99,2862.53,2876.75,2843.79,-23.4,-23.02,-23.9,6,categorie,categorie,categorie
pc_bureau,HP,Premium,c0,4,3736.99,2862.53,2876.75,2843.79,-23.4,-23.02,-23.9,6,categorie,categorie,categorie
pc_bureau,HP,Économique,c0,1,2227.07,2450.16,2464.54,2255.46,10.02,10.66,1.27,7,categorie,categorie,categorie
pc_bureau,HP,Économique,c0,2,2227.07,2450.16,2464.54,2255.46,10.02,10.66,1.27,7,categorie,categorie,categorie
pc_bureau,HP,Économique,c0,3,2227.07,2450.16,2464.54,2255.46,10.02,10.66,1.27,7,categorie,categorie,categorie
pc_bureau,HP,Économique,c0,4,2227.07,2450.16,2464.54,2255.46,10.02,10.66,1.27,7,categorie,categorie,categorie
pc_bureau,LENOVO,Milieu de gamme,c0,1,2283.92,2330.47,2341.87,2483.72,2.04,2.54,8.75,6,categorie,categorie,categorie
pc_bureau,LENOVO,Milieu de gamme,c0,2,2283.92,2330.47,2341.87,2483.72,2.04,2.54,8.75,6,categorie,categorie,categorie
pc_bureau,LENOVO,Milieu de gamme,c0,3,2283.92,2330.47,2341.87,2483.72,2.04,2.54,8.75,6,categorie,categorie,categorie
pc_bureau,LENOVO,Milieu de gamme,c0,4,2283.92,2330.47,2341.87,2483.72,2.04,2.54,8.75,6,categorie,categorie,categorie
pc_bureau,LENOVO,Premium,c0,1,3169.4,3005.09,3025.94,2973.49,-5.18,-4.53,-6.18,7,categorie,categorie,categorie
pc_bureau,LENOVO,Premium,c0,2,3169.4,3005.09,3025.94,2973.49,-5.18,-4.53,-6.18,7,categorie,categorie,categorie
pc_bureau,LENOVO,Premium,c0,3,3169.4,3005.09,3025.94,2973.49,-5.18,-4.53,-6.18,7,categorie,categorie,categorie
pc_bureau,LENOVO,Premium,c0,4,3169.4,3005.09,3025.94,2973.49,-5.18,-4.53,-6.18,7,categorie,categorie,categorie
