categorie,cluster,semaine,moyenne_geometrique,moyenne_estimee_ridge,moyenne_estimee_hedonic,moyenne_estimee_rf,erreur_ridge_pct,erreur_hedonic_pct,erreur_rf_pct,n_produits,source_ridge,source_hedonic,source_rf
pc_bureau,0,1,3684.24,3681.55,3696.94,3670.2,-0.07,0.34,-0.38,68,n1,categorie,n1
pc_bureau,0,2,3676.41,3684.72,3684.98,3674.7,0.23,0.23,-0.05,71,n1,categorie,n1
pc_bureau,0,3,3632.92,3663.24,3658.11,3647.15,0.83,0.69,0.39,72,n1,categorie,n1
pc_bureau,0,4,3580.8,3639.59,3629.03,3610.04,1.64,1.35,0.82,74,n1,categorie,n1
pc_bureau,1,1,2546.01,2485.91,2806.51,2412.51,-2.36,10.23,-5.24,52,n1,n1,n1
pc_bureau,1,2,2508.62,2448.03,2750.88,2391.8,-2.42,9.66,-4.66,53,n1,n1,n1
pc_bureau,1,3,2534.55,2446.53,2769.74,2399.76,-3.47,9.28,-5.32,50,n1,n1,n1
pc_bureau,1,4,2569.8,2501.21,2738.06,2443.42,-2.67,6.55,-4.92,51,n1,n1,n1
pc_bureau,2,1,2708.75,2675.08,2679.1,2669.81,-1.24,-1.09,-1.44,66,categorie,categorie,categorie
pc_bureau,2,2,2678.44,2652.16,2656.13,2636.27,-0.98,-0.83,-1.57,67,categorie,categorie,categorie
pc_bureau,2,3,2696.58,2655.18,2659.08,2648.41,-1.54,-1.39,-1.79,65,categorie,categorie,categorie
pc_bureau,2,4,2729.02,2695.2,2703.07,2671.93,-1.24,-0.95,-2.09,61,categorie,categorie,categorie
pc_bureau,3,1,5111.14,5023.39,5082.56,5124.41,-1.72,-0.56,0.26,16,n2,categorie,n2
pc_bureau,3,2,5111.14,5023.39,5082.56,5124.41,-1.72,-0.56,0.26,16,n2,categorie,n2
pc_bureau,3,3,5111.14,5023.39,5082.56,5124.41,-1.72,-0.56,0.26,16,n2,categorie,n2
pc_bureau,3,4,5083.82,5016.74,5007.07,5098.44,-1.32,-1.51,0.29,15,n2,categorie,n2
pc_bureau,4,1,1919.81,1830.47,1825.5,1973.81,-4.65,-4.91,2.81,14,categorie,categorie,categorie
pc_bureau,4,2,2054.98,2022.33,2016.48,2136.59,-1.59,-1.87,3.97,14,categorie,categorie,categorie
pc_bureau,4,3,2054.98,2022.33,2016.48,2136.59,-1.59,-1.87,3.97,14,categorie,categorie,categorie
