categorie,semaine,n_raw,n_clean,n_excluded
pc_bureau,1,221,217,4
pc_portables,1,541,528,13
smartphones,1,254,254,0
telephones_portables,1,70,69,1
televiseurs,1,112,112,0
pc_bureau,2,223,222,1
pc_portables,2,569,558,11
smartphones,2,249,242,7
telephones_portables,2,75,75,0
televiseurs,2,111,111,0
pc_bureau,3,220,218,2
pc_portables,3,539,529,10
smartphones,3,258,257,1
telephones_portables,3,75,75,0
televiseurs,3,111,111,0
pc_bureau,4,222,216,6
pc_portables,4,545,540,5
smartphones,4,259,259,0
telephones_portables,4,75,75,0
televiseurs,4,114,114,0
