categorie,marque,gamme,semaine_reference,n,k,outcome,ari_moyen,ari_ecart_type,n_repliques_valides
pc_bureau,ASUS,Milieu de gamme,1,6,1,too_small,,,0
pc_bureau,ASUS,Premium,1,6,1,too_small,,,0
pc_bureau,ASUS,Économique,1,6,1,too_small,,,0
pc_bureau,DELL,Milieu de gamme,1,7,1,too_small,,,0
pc_bureau,DELL,Premium,1,7,1,too_small,,,0
pc_bureau,DELL,Économique,1,7,1,too_small,,,0
pc_bureau,HP,Milieu de gamme,1,5,1,too_small,,,0
pc_bureau,HP,Premium,1,6,1,too_small,,,0
pc_bureau,HP,Économique,1,7,1,too_small,,,0
pc_bureau,LENOVO,Milieu de gamme,1,6,1,too_small,,,0
pc_bureau,LENOVO,Premium,1,7,1,too_small,,,0
pc_bureau,LENOVO,Économique,1,7,1,too_small,,,0
pc_bureau,MSI,Milieu de gamme,1,25,1,no_structure,,,0
pc_bureau,MSI,Premium,1,27,2,clustered,0.384,0.332,100
pc_bureau,MSI,Économique,1,30,2,clustered,0.781,0.329,100
pc_bureau,MYTEK,Milieu de gamme,1,18,1,no_structure,,,0
pc_bureau,MYTEK,Premium,1,18,2,clustered,0.174,0.326,100
pc_bureau,MYTEK,Économique,1,19,2,clustered,0.421,0.348,100
pc_portables,ASUS,Milieu de gamme,1,46,2,clustered,0.56,0.446,100
pc_portables,ASUS,Premium,1,47,4,clustered,0.597,0.196,100
pc_portables,ASUS,Économique,1,47,4,clustered,0.569,0.126,100
pc_portables,CHUWI,Gamme unique,1,6,1,too_small,,,0
pc_portables,DELL,Milieu de gamme,1,26,2,clustered,0.566,0.357,100
pc_portables,DELL,Premium,1,24,2,clustered,0.373,0.378,100
pc_portables,DELL,Économique,1,25,3,clustered,0.609,0.283,100
pc_portables,GIGABYTE,Milieu de gamme,1,7,1,too_small,,,0
pc_portables,GIGABYTE,Premium,1,7,1,too_small,,,0
pc_portables,GIGABYTE,Économique,1,8,1,too_small,,,0
pc_portables,HP,Milieu de gamme,1,29,1,no_structure,,,0
pc_portables,HP,Premium,1,30,3,clustered,0.5,0.244,100
pc_portables,HP,Économique,1,32,3,clustered,0.722,0.119,100
pc_portables,LENOVO,Milieu de gamme,1,41,4,clustered,0.634,0.225,100
pc_portables,LENOVO,Premium,1,42,2,clustered,0.386,0.287,100
pc_portables,LENOVO,Économique,1,42,4,clustered,0.754,0.169,100
pc_portables,MSI,Milieu de gamme,1,21,3,clustered,0.647,0.281,100
pc_portables,MSI,Premium,1,22,1,no_structure,,,0
pc_portables,MSI,Économique,1,24,3,clustered,0.973,0.119,100
smartphones,HONOR,Milieu de gamme,1,10,1,no_structure,,,0
smartphones,HONOR,Premium,1,10,1,no_structure,,,0
smartphones,HONOR,Économique,1,10,1,no_structure,,,0
smartphones,INFINIX,Milieu de gamme,1,9,1,too_small,,,0
smartphones,INFINIX,Premium,1,5,1,too_small,,,0
smartphones,INFINIX,Économique,1,8,1,too_small,,,0
smartphones,LESIA,Premium,1,6,1,too_small,,,0
smartphones,LESIA,Économique,1,6,1,too_small,,,0
smartphones,OPPO,Milieu de gamme,1,7,1,too_small,,,0
smartphones,OPPO,Premium,1,7,1,too_small,,,0
smartphones,OPPO,Économique,1,8,1,too_small,,,0
smartphones,OSCAL,Gamme unique,1,7,1,too_small,,,0
smartphones,SAMSUNG,Milieu de gamme,1,27,3,clustered,0.911,0.138,100
smartphones,SAMSUNG,Premium,1,25,2,clustered,0.448,0.389,100
smartphones,SAMSUNG,Économique,1,27,3,clustered,0.93,0.087,100
smartphones,TECNO,Gamme unique,1,6,1,too_small,,,0
smartphones,VIVO,Milieu de gamme,1,9,1,too_small,,,0
smartphones,VIVO,Premium,1,7,1,too_small,,,0
smartphones,VIVO,Économique,1,8,1,too_small,,,0
smartphones,XIAOMI,Milieu de gamme,1,14,1,no_structure,,,0
smartphones,XIAOMI,Premium,1,15,1,no_structure,,,0
smartphones,XIAOMI,Économique,1,20,1,no_structure,,,0
telephones_portables,AMI,Économique,1,16,2,clustered,1.0,0.0,100
telephones_portables,CLEVER,Gamme unique,1,6,1,too_small,,,0
telephones_portables,EVERTEK,Gamme unique,1,8,1,too_small,,,0
telephones_portables,PHILIPS,Gamme unique,1,5,1,too_small,,,0
telephones_portables,SMARTEC,Économique,1,14,1,no_structure,,,0
telephones_portables,UNIWA,Gamme unique,1,9,1,too_small,,,0
televiseurs,ECOSAT,Gamme unique,1,5,1,too_small,,,0
televiseurs,HISENSE,Gamme unique,1,9,1,too_small,,,0
televiseurs,LG,Premium,1,5,1,too_small,,,0
televiseurs,LG,Économique,1,6,1,too_small,,,0
televiseurs,MAXWELL,Gamme unique,1,7,1,too_small,,,0
televiseurs,SAMSUNG,Milieu de gamme,1,6,1,too_small,,,0
televiseurs,SAMSUNG,Premium,1,7,1,too_small,,,0
televiseurs,SAMSUNG,Économique,1,8,1,too_small,,,0
televiseurs,TCL,Milieu de gamme,1,6,1,too_small,,,0
televiseurs,TCL,Premium,1,6,1,too_small,,,0
televiseurs,TCL,Économique,1,6,1,too_small,,,0
televiseurs,TELEFUNKEN,Milieu de gamme,1,6,1,too_small,,,0
televiseurs,TELEFUNKEN,Premium,1,6,1,too_small,,,0
televiseurs,TELEFUNKEN,Économique,1,6,1,too_small,,,0
televiseurs,THOMSON,Premium,1,4,1,too_small,,,0
televiseurs,THOMSON,Économique,1,6,1,too_small,,,0
televiseurs,VEGA,Gamme unique,1,6,1,too_small,,,0
