categorie,marque,gamme,cluster,semaine_t,semaine_t1,n_produits_t,n_produits_t1,delta_prix_reel_pct,delta_estime_hedonic_pct,delta_estime_ridge_pct,delta_estime_rf_pct,ecart_residuel_pct,classification,cause_principale,accord_modeles,fiabilite_limitee,composition_stable,bootstrap_possible,ecart_residuel_ic_bas,ecart_residuel_ic_haut,ecart_residuel_p_value,ecart_residuel_significatif
pc_bureau,ASUS,Milieu de gamme,c0,1,2,6,6,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-10.3,9.62,0.966,False
pc_bureau,ASUS,Milieu de gamme,c0,2,3,6,6,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-10.35,9.98,0.988,False
pc_bureau,ASUS,Milieu de gamme,c0,3,4,6,5,-0.66,1.68,1.54,-0.22,-2.34,Effectif du cluster modifié (6 → 5 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,True,False,False,True,-11.63,7.38,0.65,False
pc_bureau,ASUS,Premium,c0,1,2,6,6,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-11.35,10.58,1.0,False
pc_bureau,ASUS,Premium,c0,2,3,6,6,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-12.12,11.2,0.992,False
pc_bureau,ASUS,Premium,c0,3,4,6,5,-0.3,-0.75,-0.83,-1.85,0.44,Effectif du cluster modifié (6 → 5 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,True,False,False,True,-12.98,11.13,0.896,False
pc_bureau,ASUS,Économique,c0,1,2,6,6,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-12.23,10.92,0.99,False
pc_bureau,ASUS,Économique,c0,2,3,6,6,0.0,0.0,0.0,0.0,0.0,Stabilité réelle (prix et caractéristiques inchangés),aucune,True,False,True,True,-11.8,10.44,0.982,False
pc_bureau,ASUS,Économique,c0,3,4,6,4,1.34,3.49,3.33,2.53,-2.15,Effectif du cluster modifié (6 → 4 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,True,False,False,True,-17.78,12.41,0.782,False
pc_bureau,DELL,Milieu de gamme,c0,1,2,7,5,-0.45,1.41,-0.37,0.48,-1.86,Effectif du cluster modifié (7 → 5 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,True,False,False,True,-9.07,4.24,0.582,False
pc_bureau,DELL,Milieu de gamme,c0,2,3,5,4,0.97,0.94,1.22,1.12,0.03,Effectif du cluster modifié (5 → 4 produits) — lecture prix/qualité non isolable (cf. cause_principale='effectif'),effectif,True,False,False,True,-8.03,6.7,0.92,False
